"ID","`UseCondition` ","`UseReversed` ","`UseInversion` ","`UseStrict` ","`UseUnsafe` ","Description"
"33 ","`Else<ElseType>` ","`UseForward` (default) ","`AsInitial` (default) ","`AsLoose` (default) ","`AsSafe` (default) ",return `true` if A extends B otherwise `ElseType`.
"34 ","`Else<ElseType>` ","`UseForward` (default) ","`AsInitial` (default) ","`AsLoose` (default) ","`AsUnsafe` ",return `true` if A extends B (converting `boolean` to `true`) otherwise `ElseType`.
"35 ","`Else<ElseType>` ","`UseForward` (default) ","`AsInitial` (default) ","`AsStrict` ","`AsSafe` (default) ",return `true` if A is B otherwise `ElseType`.
"36 ","`Else<ElseType>` ","`UseForward` (default) ","`AsInitial` (default) ","`AsStrict` ","`AsUnsafe` ",return `true` if A is B (converting `boolean` to `true`) otherwise `ElseType`.
"37 ","`Else<ElseType>` ","`UseForward` (default) ","`AsInverted` ","`AsLoose` (default) ","`AsSafe` (default) ",return `ElseType` if A extends B otherwise `true`.
"38 ","`Else<ElseType>` ","`UseForward` (default) ","`AsInverted` ","`AsLoose` (default) ","`AsUnsafe` ",return `ElseType` if A extends B (converting `boolean` to `true`) otherwise `true`.
"39 ","`Else<ElseType>` ","`UseForward` (default) ","`AsInverted` ","`AsStrict` ","`AsSafe` (default) ",return `ElseType` if A is B otherwise `true`.
"40 ","`Else<ElseType>` ","`UseForward` (default) ","`AsInverted` ","`AsStrict` ","`AsUnsafe` ",return `ElseType` if A is B (converting `boolean` to `true`) otherwise `true`.
"41 ","`Else<ElseType>` ","`UseReversed` ","`AsInitial` (default) ","`AsLoose` (default) ","`AsSafe` (default) ",return `true` if B extends A otherwise `ElseType`.
"42 ","`Else<ElseType>` ","`UseReversed` ","`AsInitial` (default) ","`AsLoose` (default) ","`AsUnsafe` ",return `true` if B extends A (converting `boolean` to `true`) otherwise `ElseType`.
"43 ","`Else<ElseType>` ","`UseReversed` ","`AsInitial` (default) ","`AsStrict` ","`AsSafe` (default) ",return `true` if B is A otherwise `ElseType`.
"44 ","`Else<ElseType>` ","`UseReversed` ","`AsInitial` (default) ","`AsStrict` ","`AsUnsafe` ",return `true` if B is A (converting `boolean` to `true`) otherwise `ElseType`.
"45 ","`Else<ElseType>` ","`UseReversed` ","`AsInverted` ","`AsLoose` (default) ","`AsSafe` (default) ",return `ElseType` if B extends A otherwise `true`.
"46 ","`Else<ElseType>` ","`UseReversed` ","`AsInverted` ","`AsLoose` (default) ","`AsUnsafe` ",return `ElseType` if B extends A (converting `boolean` to `true`) otherwise `true`.
"47 ","`Else<ElseType>` ","`UseReversed` ","`AsInverted` ","`AsStrict` ","`AsSafe` (default) ",return `ElseType` if B is A otherwise `true`.
"48 ","`Else<ElseType>` ","`UseReversed` ","`AsInverted` ","`AsStrict` ","`AsUnsafe` ",return `ElseType` if B is A (converting `boolean` to `true`) otherwise `true`.
"49 ","`ConditionOf<ThenType,ElseType>` ","`UseForward` (default) ","`AsInitial` (default) ","`AsLoose` (default) ","`AsSafe` (default) ",return `ThenType` if A extends B otherwise `ElseType`.
"50 ","`ConditionOf<ThenType,ElseType>` ","`UseForward` (default) ","`AsInitial` (default) ","`AsLoose` (default) ","`AsUnsafe` ",return `ThenType` if A extends B (converting `boolean` to `true`) otherwise `ElseType`.
